City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
505,Opuwo,-18.0607,13.84,64.11,61,41,2.51,NA,2022-02-02 23:04:09,scattered clouds
506,Iganga,0.6092,33.4686,69.08,80,100,3.58,UG,2022-02-02 23:04:53,overcast clouds
507,Tateyama,34.9833,139.8667,42.1,60,75,11.5,JP,2022-02-02 23:04:53,broken clouds
508,Washington,47.5001,-120.5015,33.08,52,100,4.63,US,2022-02-02 23:02:24,overcast clouds
509,Villa Maria,-32.4075,-63.2402,75.54,59,100,17.22,AR,2022-02-02 23:05:54,overcast clouds
510,Hambantota,6.1241,81.1185,72.1,84,5,9.17,LK,2022-02-02 23:05:55,clear sky
511,Puerto Narino,-3.7703,-70.3831,75.15,97,100,3.53,CO,2022-02-02 23:05:55,heavy intensity rain
512,Qaqortoq,60.7167,-46.0333,3.7,66,65,8.01,GL,2022-02-02 23:05:55,broken clouds
513,Ostrovnoy,68.0531,39.5131,20.79,91,100,14.63,RU,2022-02-02 23:05:56,light snow
514,Puerto Palomas,31.7667,-107.6167,52.93,33,88,25.32,MX,2022-02-02 23:05:56,overcast clouds
515,Nemuro,43.3236,145.575,23.36,72,51,7.72,JP,2022-02-02 23:02:52,broken clouds
516,Junction City,39.0286,-96.8314,20.8,52,100,5.99,US,2022-02-02 23:02:00,overcast clouds
517,Murnau,48.2302,12.2943,39.97,95,78,8.63,DE,2022-02-02 23:05:57,broken clouds
518,Erzincan,39.75,39.5,40.3,60,40,6.91,TR,2022-02-02 23:05:57,scattered clouds
519,Naryan-Mar,67.6713,53.087,7.56,96,100,7.45,RU,2022-02-02 23:05:57,overcast clouds
520,Waitara,-38.925,174.25,68.99,80,100,17.16,NZ,2022-02-02 23:05:02,moderate rain
521,Beira,-19.8436,34.8389,75.67,86,13,5.39,MZ,2022-02-02 23:05:58,few clouds
522,Vernon,50.2581,-119.2691,25.12,59,100,1.41,CA,2022-02-02 23:05:20,overcast clouds
523,Nelson Bay,-32.7167,152.15,67.1,92,100,3.0,AU,2022-02-02 23:01:41,overcast clouds
524,Tevaitoa,-16.7833,-151.5,81.18,72,18,20.36,PF,2022-02-02 23:05:59,few clouds
525,Muhos,64.808,25.9931,-2.42,96,100,2.68,FI,2022-02-02 23:05:59,overcast clouds
526,Badou,7.5833,0.6,72.75,21,56,2.48,TG,2022-02-02 23:06:00,broken clouds
527,Janakpur,26.7183,85.9065,56.03,65,23,4.9,NP,2022-02-02 23:03:01,few clouds
528,Tarsus,36.9188,34.8784,53.47,78,82,10.33,TR,2022-02-02 23:02:14,broken clouds
529,Yilan,24.757,121.753,66.36,99,96,4.07,TW,2022-02-02 23:06:00,overcast clouds
530,Egersund,58.4513,5.9997,37.2,89,94,1.32,NO,2022-02-02 23:06:01,overcast clouds
531,Fairbanks,64.8378,-147.7164,-16.64,70,0,0.0,US,2022-02-02 23:05:01,clear sky
532,Yining,29.0361,114.5636,34.38,99,98,1.66,CN,2022-02-02 23:06:01,overcast clouds
533,Mweka,-4.85,21.5667,69.58,99,100,1.92,CD,2022-02-02 23:03:46,light rain
534,Kununurra,-15.7667,128.7333,78.78,89,40,5.75,AU,2022-02-02 23:06:02,scattered clouds
535,Akyab,20.15,92.9,62.13,73,5,6.73,MM,2022-02-02 23:06:02,clear sky
536,Bintulu,3.1667,113.0333,74.77,92,99,3.89,MY,2022-02-02 23:06:03,overcast clouds
537,Qandala,11.472,49.8728,72.39,70,2,4.88,SO,2022-02-02 23:06:03,clear sky
538,Leningradskiy,69.3833,178.4167,-13.59,94,30,9.89,RU,2022-02-02 23:02:53,scattered clouds
539,Palana,59.1167,159.9667,11.61,87,100,13.09,RU,2022-02-02 23:06:04,overcast clouds
540,Deputatskiy,69.3,139.9,-24.95,93,20,5.84,RU,2022-02-02 23:01:24,few clouds
541,La Cruz,23.9167,-106.9,72.19,45,41,7.09,MX,2022-02-02 23:06:04,scattered clouds
542,Sapucaia,-29.8333,-51.15,82.71,76,0,4.0,BR,2022-02-02 23:04:33,clear sky
